Date,Open,High,Low,Close,Volume,Adj Close
2014-09-09,29.21,29.21,27.97,28.02,1367600,28.02
2014-09-08,29.40,29.49,29.06,29.06,280600,29.06
2014-09-05,29.10,29.50,28.90,29.25,618100,29.25
2014-09-04,29.77,29.78,29.41,29.51,1318100,29.51
2014-09-03,29.90,29.95,29.13,29.43,1137800,29.43
2014-09-02,30.09,30.10,29.60,29.92,704400,29.92
2014-09-01,29.79,30.14,29.45,30.08,238200,30.08
2014-08-29,29.90,30.18,29.60,29.94,904200,29.94
2014-08-28,29.50,30.36,29.50,29.96,1046900,29.96
2014-08-27,29.86,30.35,29.54,29.83,1068200,29.83
2014-08-26,29.80,29.98,29.63,29.86,998800,29.86
2014-08-25,30.05,30.39,29.66,29.75,2069200,29.75
2014-08-22,30.48,30.48,29.85,29.98,499600,29.98
2014-08-21,30.48,30.48,29.85,29.95,3925500,29.95
2014-08-20,30.20,30.80,30.20,30.48,708700,30.48
2014-08-19,30.25,30.99,30.19,30.47,1242100,30.47
2014-08-18,29.99,31.82,29.98,30.09,2567300,30.09
2014-08-15,29.51,30.00,29.51,29.73,532600,29.73
2014-08-14,29.95,30.10,29.80,30.02,678600,30.02
2014-08-13,29.90,30.09,29.79,30.00,999500,30.00
2014-08-12,29.85,29.99,29.65,29.95,1369200,29.95
2014-08-11,29.60,29.95,29.60,29.84,9225400,29.84
2014-08-08,29.50,29.85,29.50,29.63,1028700,29.63
2014-08-07,29.10,29.95,29.10,29.71,865000,29.71
2014-08-06,29.60,29.69,29.45,29.62,477900,29.62
2014-08-05,29.50,29.89,29.50,29.60,1832400,29.60
2014-08-04,29.54,30.00,29.40,29.83,289200,29.83
2014-08-01,29.71,29.72,28.84,29.50,665900,29.50
2014-07-31,29.79,30.00,29.44,29.69,3191300,29.69
2014-07-30,29.97,29.99,29.41,29.73,1273500,29.73
2014-07-29,30.00,30.00,29.76,29.98,656600,29.98
2014-07-28,29.90,30.00,29.70,29.99,928100,29.99
2014-07-25,29.58,29.90,29.29,29.86,1638000,29.86
2014-07-24,29.11,29.60,29.11,29.52,1684800,29.52
2014-07-23,28.71,29.60,28.71,29.50,1506300,29.50
2014-07-22,29.00,29.35,28.97,29.26,981600,29.26
2014-07-21,28.50,29.17,28.50,28.88,3179000,28.88
2014-07-18,29.22,29.30,28.61,28.83,890600,28.83
2014-07-17,29.00,29.29,28.62,29.01,1370700,29.01
2014-07-16,28.85,29.12,28.00,29.04,3909800,29.04
2014-07-15,28.85,29.00,28.75,28.85,986500,28.85
2014-07-14,28.60,29.00,28.19,28.85,1746700,28.85
2014-07-11,28.80,28.81,28.50,28.60,287700,28.60
2014-07-10,28.81,28.81,28.55,28.66,922100,28.66
2014-07-09,28.99,28.99,28.51,28.54,278600,28.54
2014-07-08,29.00,29.10,28.51,28.81,1833700,28.81
2014-07-07,29.16,29.30,28.87,28.99,643300,28.99
2014-07-04,29.20,29.20,29.00,29.04,71500,29.04
2014-07-03,29.95,29.95,28.89,29.18,1575000,29.18
2014-07-02,29.00,29.20,28.81,29.13,2359600,29.13
2014-07-01,29.21,29.21,28.84,29.04,3673500,29.04
2014-06-30,28.50,29.59,28.40,29.20,8599400,29.20
2014-06-27,28.40,28.50,28.27,28.48,1962000,28.48
2014-06-26,28.24,28.40,28.13,28.30,2926600,28.30
2014-06-25,28.28,28.30,28.00,28.13,1018400,28.13
2014-06-24,28.50,28.50,28.17,28.27,3400600,28.27
2014-06-23,27.90,28.50,27.90,28.29,1616300,28.29
2014-06-20,28.00,28.00,27.61,27.91,687100,27.91
2014-06-19,27.57,28.00,27.43,27.93,476400,27.93
2014-06-18,27.25,27.63,27.21,27.44,2633000,27.44
2014-06-17,27.45,27.45,27.30,27.40,385600,27.40
2014-06-16,27.50,27.50,27.36,27.47,2548400,27.47
