Date,Open,High,Low,Close,Volume,Adj Close
9/9/2014,29.21,29.21,27.97,28.02,1367600,28.02
9/8/2014,29.4,29.49,29.06,29.06,280600,29.06
9/5/2014,29.1,29.5,28.9,29.25,618100,29.25
9/4/2014,29.77,29.78,29.41,29.51,1318100,29.51
9/3/2014,29.9,29.95,29.13,29.43,1137800,29.43
9/2/2014,30.09,30.1,29.6,29.92,704400,29.92
9/1/2014,29.79,30.14,29.45,30.08,238200,30.08
8/29/2014,29.9,30.18,29.6,29.94,904200,29.94
8/28/2014,29.5,30.36,29.5,29.96,1046900,29.96
8/27/2014,29.86,30.35,29.54,29.83,1068200,29.83
8/26/2014,29.8,29.98,29.63,29.86,998800,29.86
8/25/2014,30.05,30.39,29.66,29.75,2069200,29.75
8/22/2014,30.48,30.48,29.85,29.98,499600,29.98
8/21/2014,30.48,30.48,29.85,29.95,3925500,29.95
8/20/2014,30.2,30.8,30.2,30.48,708700,30.48
8/19/2014,30.25,30.99,30.19,30.47,1242100,30.47
8/18/2014,29.99,31.82,29.98,30.09,2567300,30.09
8/15/2014,29.51,30,29.51,29.73,532600,29.73
8/14/2014,29.95,30.1,29.8,30.02,678600,30.02
8/13/2014,29.9,30.09,29.79,30,999500,30
8/12/2014,29.85,29.99,29.65,29.95,1369200,29.95
8/11/2014,29.6,29.95,29.6,29.84,9225400,29.84
8/8/2014,29.5,29.85,29.5,29.63,1028700,29.63
8/7/2014,29.1,29.95,29.1,29.71,865000,29.71
8/6/2014,29.6,29.69,29.45,29.62,477900,29.62
8/5/2014,29.5,29.89,29.5,29.6,1832400,29.6
8/4/2014,29.54,30,29.4,29.83,289200,29.83
8/1/2014,29.71,29.72,28.84,29.5,665900,29.5
7/31/2014,29.79,30,29.44,29.69,3191300,29.69
7/30/2014,29.97,29.99,29.41,29.73,1273500,29.73
7/29/2014,30,30,29.76,29.98,656600,29.98
7/28/2014,29.9,30,29.7,29.99,928100,29.99
7/25/2014,29.58,29.9,29.29,29.86,1638000,29.86
7/24/2014,29.11,29.6,29.11,29.52,1684800,29.52
7/23/2014,28.71,29.6,28.71,29.5,1506300,29.5
7/22/2014,29,29.35,28.97,29.26,981600,29.26
7/21/2014,28.5,29.17,28.5,28.88,3179000,28.88
7/18/2014,29.22,29.3,28.61,28.83,890600,28.83
7/17/2014,29,29.29,28.62,29.01,1370700,29.01
7/16/2014,28.85,29.12,28,29.04,3909800,29.04
7/15/2014,28.85,29,28.75,28.85,986500,28.85
7/14/2014,28.6,29,28.19,28.85,1746700,28.85
7/11/2014,28.8,28.81,28.5,28.6,287700,28.6
7/10/2014,28.81,28.81,28.55,28.66,922100,28.66
7/9/2014,28.99,28.99,28.51,28.54,278600,28.54
7/8/2014,29,29.1,28.51,28.81,1833700,28.81
7/7/2014,29.16,29.3,28.87,28.99,643300,28.99
7/4/2014,29.2,29.2,29,29.04,71500,29.04
7/3/2014,29.95,29.95,28.89,29.18,1575000,29.18
7/2/2014,29,29.2,28.81,29.13,2359600,29.13
7/1/2014,29.21,29.21,28.84,29.04,3673500,29.04
6/30/2014,28.5,29.59,28.4,29.2,8599400,29.2
6/27/2014,28.4,28.5,28.27,28.48,1962000,28.48
6/26/2014,28.24,28.4,28.13,28.3,2926600,28.3
6/25/2014,28.28,28.3,28,28.13,1018400,28.13
6/24/2014,28.5,28.5,28.17,28.27,3400600,28.27
6/23/2014,27.9,28.5,27.9,28.29,1616300,28.29
6/20/2014,28,28,27.61,27.91,687100,27.91
6/19/2014,27.57,28,27.43,27.93,476400,27.93
6/18/2014,27.25,27.63,27.21,27.44,2633000,27.44
6/17/2014,27.45,27.45,27.3,27.4,385600,27.4
6/16/2014,27.5,27.5,27.36,27.47,2548400,27.47
6/13/2014,27.43,27.5,27.3,27.35,1030900,27.35
6/12/2014,27.5,27.5,27.2,27.3,350800,27.3
6/11/2014,27.79,27.79,27.18,27.39,2186500,27.39
6/10/2014,27.29,27.5,26.82,27.48,1381400,27.48
6/9/2014,27.5,27.5,26.9,27.31,575600,27.31
6/6/2014,26.8,27.36,26.33,27.3,2956600,27.3
6/5/2014,26.79,26.8,26.3,26.53,2371400,26.53
6/4/2014,26.55,26.6,26.47,26.56,4196100,26.56
6/3/2014,26.2,26.72,26.12,26.59,3262400,26.59
6/2/2014,26.55,26.65,26.1,26.18,2759500,26.18
5/30/2014,26.5,27,26.07,26.39,4197900,26.39
5/29/2014,26.25,26.98,26.25,26.49,960100,26.49
5/28/2014,27.13,27.19,26.24,26.71,901800,26.71
5/27/2014,27.18,27.24,26.55,26.96,288100,26.96
5/26/2014,26.96,27.24,26.76,27.17,190900,27.17
5/23/2014,26.3,27.15,26.11,26.96,40730400,26.96
5/22/2014,26.28,26.7,26.2,26.23,3765200,26.23
5/21/2014,26.74,26.94,26.1,26.11,720900,26.11
5/20/2014,26.65,27,26.05,26.46,2049300,26.46
5/19/2014,26.4,27,26.2,26.54,292100,26.54
5/16/2014,26.39,26.99,25.49,25.9,756700,25.9
5/15/2014,27.13,27.16,26.5,26.72,878800,26.72
5/14/2014,26.97,27.16,26.9,27.03,385300,27.03
5/13/2014,27.15,27.25,26.17,26.99,220500,26.99
5/12/2014,26.53,27.16,26.53,27.02,737400,27.02
5/9/2014,26.64,26.75,26.15,26.55,343600,26.55
5/8/2014,26.86,26.9,26.25,26.5,1247900,26.5
5/7/2014,26.79,26.8,26.49,26.74,399500,26.74
5/6/2014,26.52,26.76,26,26.49,741500,26.49
5/5/2014,25.88,26.89,25.88,26.5,819100,26.5
5/2/2014,26.13,26.82,25.42,25.76,309500,25.76
5/1/2014,26.12,26.12,26.12,26.12,0,26.12
4/30/2014,25.2,26.29,25.2,26.12,953500,26.12
4/29/2014,24.9,25.29,24.61,25.07,500700,25.07
4/28/2014,25.08,25.75,24.95,24.97,735500,24.97
4/25/2014,24.77,25.45,24.75,25.08,320400,25.08
4/24/2014,25.36,25.37,24.77,24.83,526500,24.83
4/23/2014,25.4,25.98,25.02,25.33,142400,25.33
4/22/2014,25.5,25.5,25.12,25.32,430000,25.32
4/21/2014,25.47,25.95,25.33,25.46,188600,25.46
4/18/2014,25.35,25.35,25.35,25.35,0,25.35
4/17/2014,25.35,25.35,25.35,25.35,0,25.35
4/16/2014,25.47,25.5,25.27,25.35,160000,25.35
4/15/2014,25.32,25.39,25,25.19,126300,25.19
4/14/2014,25.27,25.44,24.91,25.22,102800,25.22
4/11/2014,25.4,25.4,24.95,25.1,535000,25.1
4/10/2014,25.19,25.5,25.18,25.33,1087700,25.33
4/9/2014,25.45,25.99,24.91,25.05,639100,25.05
4/8/2014,25.56,26.01,25.18,25.28,434000,25.28
4/7/2014,24.98,25.7,24.98,25.39,891900,25.39
4/4/2014,25.5,25.5,24.81,24.87,1732000,24.87
4/3/2014,24.85,25.2,24.83,24.96,1154500,24.96
4/2/2014,25.59,25.59,24.95,24.98,2707500,24.98
4/1/2014,25.57,26.47,25.3,25.48,828800,25.48
3/31/2014,26.29,26.55,25.78,26.1,1483700,26.1
3/28/2014,26.04,26.5,26.03,26.24,725300,26.24
3/27/2014,26.13,26.49,26,26.17,669100,26.17
3/26/2014,26.26,26.5,26.03,26.13,1214700,26.13
3/25/2014,26.4,26.5,26.24,26.4,386600,26.4
3/24/2014,26.5,26.5,26.26,26.4,331400,26.4
3/21/2014,26.44,26.57,26.3,26.46,538000,26.46
3/20/2014,25.61,26.69,25.6,26.39,1218700,26.39
3/19/2014,26.32,26.97,25.88,26.51,17297500,26.51
3/18/2014,26.96,27,26.45,26.62,1340900,26.62
3/17/2014,26.91,26.91,26.91,26.91,0,26.91
3/14/2014,27,27,26.75,26.91,501800,26.91
3/13/2014,27.06,27.15,26.8,26.94,2158700,26.94
3/12/2014,27.2,27.2,26.13,27.04,685500,27.04
3/11/2014,26.78,27.2,26.78,27.11,2027600,27.11
3/10/2014,27.05,27.2,26.63,26.97,1209800,26.97
3/7/2014,27.4,27.4,27.01,27.05,696200,27.05
3/6/2014,27,27.95,26.78,27.38,3468100,27.38
3/5/2014,26.59,27,25.92,26.92,2450900,26.92
3/4/2014,25.92,26.99,25.92,26.77,1845200,26.77
3/3/2014,26.56,26.72,25.52,25.92,2746400,25.92
2/28/2014,26.28,26.9,26.28,26.56,4713200,26.56
2/27/2014,26,26.2,25.9,26.13,1981000,26.13
2/26/2014,26.02,26.21,25.83,25.99,2107500,25.99
2/25/2014,25.89,26.15,25.62,25.85,1335000,25.85
2/24/2014,26.15,26.25,25.42,25.78,224400,25.78
2/21/2014,26.2,26.2,25.97,26.15,610700,26.15
2/20/2014,25.5,26.2,24.92,26.08,939200,26.08
2/19/2014,25.63,25.63,25.24,25.35,431900,25.35
2/18/2014,25.7,25.79,25.5,25.58,316300,25.58
2/17/2014,25.27,25.8,25.27,25.7,54500,25.7
2/14/2014,25.28,25.75,24.73,25.08,933500,25.08
2/13/2014,24.7,25.68,24.7,25.37,558100,25.37
2/12/2014,24.99,24.99,24.51,24.71,1504600,24.71
2/11/2014,24.7,25.19,24.48,24.58,1010400,24.58
2/10/2014,24.89,25.19,24.51,24.63,662300,24.63
2/7/2014,24.91,25,23.71,24.91,988300,24.91
2/6/2014,24.99,25.05,24.07,24.8,1882900,24.8
2/5/2014,23.75,25,23.71,24.98,1497600,24.98
2/4/2014,24.58,25.24,23.91,24.72,1417600,24.72
2/3/2014,24.82,24.82,24.82,24.82,0,24.82
1/31/2014,24.94,25,24.11,24.82,731600,24.82
1/30/2014,24,25.28,23.7,24.94,1316000,24.94
1/29/2014,23.74,24,23.5,23.67,305600,23.67
1/28/2014,23.9,24.32,23.3,23.76,758900,23.76
1/27/2014,23.8,23.9,23.42,23.85,356200,23.85
1/24/2014,23.52,24.05,23.52,23.79,494800,23.79
1/23/2014,23.27,23.75,23.23,23.68,535900,23.68
1/22/2014,23,23.75,22.9,23.27,2115300,23.27
1/21/2014,22.59,23,22,22.83,1219100,22.83
1/20/2014,22.5,22.9,22.5,22.7,635000,22.7
1/17/2014,22.35,23,22.35,22.85,168500,22.85
1/16/2014,23.08,23.08,22.32,22.63,981800,22.63
1/15/2014,23.1,23.25,22.91,23.06,423600,23.06
1/14/2014,23,23.39,23,23.1,2678200,23.1
1/13/2014,23.3,23.4,23.11,23.31,4053100,23.31
1/10/2014,23.01,23.4,22.91,22.99,968500,22.99
1/9/2014,23.08,23.24,22.9,22.95,603200,22.95
1/8/2014,23.24,23.44,22.9,23.08,382600,23.08
1/7/2014,23.46,23.47,23.16,23.22,467400,23.22
1/6/2014,23.49,23.49,23.06,23.2,696400,23.2
1/3/2014,23.33,23.42,23.21,23.25,306800,23.25
1/2/2014,23.49,23.49,23.01,23.33,635500,23.33
1/1/2014,23.49,23.49,23.49,23.49,0,23.49
